Date/Time,FlowmeterNum,ProductNum,Weight,Valve1 Weight,Valve2 Weight,Valve3 Weight,Valve4 Weight
2024/1/31 10:37:45,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 10:37:48,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 10:39:00,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 10:39:02,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 10:39:29,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 10:39:35,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 10:46:33,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 10:46:37,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:01:37,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:01:41,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:02:21,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:02:24,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:03:09,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:03:12,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:04:35,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:04:41,1,2,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:05:00,1,1,0.000,0.000,0.000,0.000,0.000
2024/1/31 11:05:06,1,2,0.000,0.000,0.000,0.000,0.000
