Date/Time,FlowmeterNum,ProductNum,Weight(g),Valve1 Weight(g),Valve2 Weight(g),Valve3 Weight(g),Valve4 Weight(g),SN
2024/9/20 15:24:11,1,1,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:24:11,1,2,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:30:02,1,1,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:30:02,1,2,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:30:22,1,1,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:30:23,1,2,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:30:40,1,1,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:30:40,1,2,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:35:12,1,1,0.000,0.000,0.000,0.000,0.000,
2024/9/20 15:35:12,1,2,0.000,0.000,0.000,0.000,0.000,
