Date/Time,FlowmeterNum,ProductNum,Weight(g),Valve1 Weight(g),Valve2 Weight(g),Valve3 Weight(g),Valve4 Weight(g),SN
2025/1/21 11:18:21,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:21:07,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:24:10,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:25:46,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:25:59,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:26:31,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:30:24,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:32:30,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:33:31,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:34:41,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:34:46,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:40:17,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:40:38,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:41:05,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:41:24,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:42:27,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:42:42,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:44:44,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:45:09,1,1,0.000,0.000,0.000,0.000,0.000,
2025/1/21 11:46:51,1,1,0.000,0.000,0.000,0.000,0.000,
