Date/Time,FlowmeterNum,ProductNum,Weight(g),Valve1 Weight(g),Valve2 Weight(g),Valve3 Weight(g),Valve4 Weight(g),SN
11/28/2024 11:01:27 AM,1,1,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:01:27 AM,1,2,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:01:28 AM,1,3,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:01:30 AM,1,4,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:01:31 AM,1,5,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:01:32 AM,1,6,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:01:33 AM,1,7,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:01:34 AM,1,9,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:00 AM,1,1,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:01 AM,1,2,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:02 AM,1,3,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:03 AM,1,4,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:04 AM,1,5,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:05 AM,1,6,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:06 AM,1,7,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:07 AM,1,9,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:23 AM,1,1,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:24 AM,1,2,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:25 AM,1,3,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:26 AM,1,4,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:28 AM,1,5,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:29 AM,1,6,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:30 AM,1,7,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:02:31 AM,1,9,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:30:14 AM,1,1,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:30:15 AM,1,2,0.000,0.000,0.000,0.000,0.000,
11/28/2024 11:30:16 AM,1,3,0.000,0.000,0.000,0.000,0.000,
