
a  3	2024/8/11 14:12:07	设备初始化......
a  3	2024/8/11 14:12:08	当前用户： a
a  3	2024/8/11 14:12:08	打开程序：20240724154242
a  3	2024/8/11 14:12:47	设备初始化......
a  3	2024/8/11 14:12:47	当前用户： a
a  3	2024/8/11 14:12:47	打开程序：20240724154242
a  3	2024/8/11 14:12:51	复位按钮按下
a  3	2024/8/11 14:13:00	设备复位完成
a  3	2024/8/11 14:13:02	AlarmCode 1006:气压检测报警
a  3	2024/8/11 14:13:03	停止
a  3	2024/8/11 14:13:06	气压检测:Disable
a  3	2024/8/11 14:17:01	AlarmCode 1005:门禁打开
a  3	2024/8/11 14:17:02	AlarmCode 1007:急停按钮按下，请复位！
a  3	2024/8/11 14:17:03	电源开关被按下，请复位。
a  3	2024/8/11 14:17:05	门禁打开
a  3	2024/8/11 14:17:08	门禁打开
a  3	2024/8/11 14:17:11	门禁打开
a  3	2024/8/11 14:17:21	复位按钮按下
a  3	2024/8/11 14:17:30	设备复位完成
a  3	2024/8/11 14:58:36	设备初始化......
a  3	2024/8/11 14:58:36	当前用户： a
a  3	2024/8/11 14:58:36	打开程序：20240724154242
a  3	2024/8/11 14:58:37	复位按钮按下
a  3	2024/8/11 14:58:46	设备复位完成
a  3	2024/8/11 14:59:10	搅拌桶通讯异常
a  3	2024/8/11 14:59:30	搅拌桶通讯异常
a  3	2024/8/11 15:01:04	搅拌桶通讯异常
a  3	2024/8/11 15:01:32	设备初始化......
a  3	2024/8/11 15:01:32	当前用户： a
a  3	2024/8/11 15:01:32	打开程序：20240724154242
a  3	2024/8/11 15:01:33	复位按钮按下
a  3	2024/8/11 15:01:34	AlarmCode 1006:气压检测报警
a  3	2024/8/11 15:01:34	停止
a  3	2024/8/11 15:01:37	复位失败
a  3	2024/8/11 15:01:38	Z轴复位失败
a  3	2024/8/11 15:01:40	复位按钮按下
a  3	2024/8/11 15:01:48	设备复位完成
a  3	2024/8/11 15:01:56	涂胶运行
a  3	2024/8/11 15:01:57	
a  3	2024/8/11 15:09:31	设备初始化......
a  3	2024/8/11 15:09:31	当前用户： a
a  3	2024/8/11 15:09:31	打开程序：20240724154242
a  3	2024/8/11 15:09:38	复位按钮按下
a  3	2024/8/11 15:09:47	设备复位完成
a  3	2024/8/11 15:09:50	涂胶运行
a  3	2024/8/11 15:09:51	
a  3	2024/8/11 15:39:57	设备初始化......
a  3	2024/8/11 15:39:57	当前用户： a
a  3	2024/8/11 15:39:57	打开程序：20240724154242
a  3	2024/8/11 15:39:58	复位按钮按下
a  3	2024/8/11 15:40:06	设备复位完成
a  3	2024/8/11 15:40:23	涂胶运行
a  3	2024/8/11 15:40:24	
a  3	2024/8/11 15:41:22	B桶液位过低，请更换
a  3	2024/8/11 15:41:54	停止
a  3	2024/8/11 15:41:56	停止
a  3	2024/8/11 15:48:05	设备初始化......
a  3	2024/8/11 15:48:05	当前用户： a
a  3	2024/8/11 15:48:05	打开程序：20240724154242
a  3	2024/8/11 15:48:06	复位按钮按下
a  3	2024/8/11 15:48:15	设备复位完成
a  3	2024/8/11 15:48:22	左低液位报警:Enable
a  3	2024/8/11 15:48:23	右低液位报警:Enable
a  3	2024/8/11 15:48:24	左低液位报警:Disable
a  3	2024/8/11 15:48:24	右低液位报警:Disable
a  3	2024/8/11 15:48:25	右低液位信号取反:Enable
a  3	2024/8/11 15:48:25	左低液位信号取反:Enable
a  3	2024/8/11 15:48:26	ParametersOfSystemSetting.bin文件中以下参数已经被修改：Pressure detecting,Negated Right low level signal,Negated Left low level signal
a  3	2024/8/11 15:48:31	左右供料桶同时报警
请确保有一个桶可用
a  3	2024/8/11 15:48:31	涂胶运行
a  3	2024/8/11 15:48:31	
a  3	2024/8/11 15:48:34	停止
a  3	2024/8/11 15:48:43	供料大桶低液位，请更换
a  3	2024/8/11 15:49:20	左低液位信号取反:Disable
a  3	2024/8/11 15:49:20	右低液位信号取反:Disable
a  3	2024/8/11 15:49:22	ParametersOfSystemSetting.bin文件中以下参数已经被修改：Negated Right low level signal,Negated Left low level signal
a  3	2024/8/11 15:49:30	涂胶运行
a  3	2024/8/11 15:49:31	
a  3	2024/8/11 15:49:50	停止
a  3	2024/8/11 15:49:52	停止
a  3	2024/8/11 15:49:53	涂胶运行
a  3	2024/8/11 15:49:54	
a  3	2024/8/11 15:50:17	停止
a  3	2024/8/11 15:50:18	停止
a  3	2024/8/11 15:50:19	涂胶运行
a  3	2024/8/11 15:50:20	
a  3	2024/8/11 15:50:22	停止
a  3	2024/8/11 15:50:24	停止
a  3	2024/8/11 15:53:09	设备初始化......
a  3	2024/8/11 15:53:09	当前用户： a
a  3	2024/8/11 15:53:09	打开程序：20240724154242
a  3	2024/8/11 15:53:09	复位按钮按下
a  3	2024/8/11 15:53:18	设备复位完成
a  3	2024/8/11 16:00:50	设备初始化......
a  3	2024/8/11 16:00:51	当前用户： a
a  3	2024/8/11 16:00:51	打开程序：20240724154242
a  3	2024/8/11 16:00:51	复位按钮按下
a  3	2024/8/11 16:01:00	设备复位完成
a  3	2024/8/11 16:01:07	涂胶运行
a  3	2024/8/11 16:01:08	
a  3	2024/8/11 16:02:38	设备初始化......
a  3	2024/8/11 16:02:38	当前用户： a
a  3	2024/8/11 16:02:38	打开程序：20240724154242
a  3	2024/8/11 16:02:39	复位按钮按下
a  3	2024/8/11 16:02:39	AlarmCode 1006:气压检测报警
a  3	2024/8/11 16:02:39	停止
a  3	2024/8/11 16:02:42	复位失败
a  3	2024/8/11 16:02:43	Z轴复位失败
a  3	2024/8/11 16:02:45	复位按钮按下
a  3	2024/8/11 16:02:54	设备复位完成
a  3	2024/8/11 16:17:21	涂胶运行
a  3	2024/8/11 16:17:23	
a  3	2024/8/11 16:19:26	设备初始化......
